,Вопрос,1,2,3,4,Правильный ответ
5950,"Что в царской России, кроме обычного инвентаря, входило в экипировку дворника?",жезл,сабля,револьвер,свисток,4.0
5951,Какой эпитет дал своей комедии «Осенний марафон» сам Георгий Данелия?,лирическая,психологическая,печальная,социальная,3.0
5952,Что открыл Колумб?,Америку,закон всемирного тяготения,бутылку шампанского,кингстоны,1.0
5953,"Как, согласно идиоме, смотрит человек, выражая своё пренебрежение?",сквозь пальцы,другими глазами,сверху вниз,как баран на новые ворота,3.0
5954,"На что, с точки зрения композитора Вячеслава Добрынина и поэта Михаила Рябинина, похож синий туман?",на роман,на дурман,на лиман,на обман,4.0
5955,В какой из этих игр обходятся без клюшек?,хоккей,гольф,бейсбол,бенди,3.0
5956,Какая горная система подарила название всем покорителям вершин?,Альпы,Кордильеры,Пиренеи,Анды,1.0
5957,Что курил премьер-министр Великобритании Уинстон Черчилль?,трубку,сигареты,папиросы,сигары,4.0
5958,Под каким цирковым прозвищем прославился Михаил Румянцев?,Ластик,Карандаш,Скрепка,Грифель,2.0
5959,Кто привычен к жизни в пустыне?,пигмей,кхмер,бедуин,бушмен,3.0
5960,Какого цвета циферблат курантов Спасской башни?,чёрный,белый,коричневый,синий,1.0
5961,В какой стране название жандармерии дал один из видов огнестрельного оружия?,Франция,Италия,Чехия,Португалия,2.0
5962,Какой народный промысел прославил тобольских мастеров?,чугунное литьё,малахитовые шкатулки,резьба по кости,пуховые платки,3.0
5963,Какого слова не было в словаре Эллочки-людоедки в романе Ильфа и Петрова «Двенадцать стульев»?,хамите,мрак,железно,парниша,3.0
5964,Что на Руси называли «мягкой рухлядью»?,старые кресла,одеяла,обмолоченные снопы,меха и пушнину,4.0
5965,Какого моря нет на Луне?,Море Ветров,Море Облаков,Море Дождей,Море Пены,1.0
5966,"Как в народе называют значительного, влиятельного человека?",жёлудь,шишка,фрукт,овощ,2.0
5967,"Что говорят о человеке, который снимает с себя ответственность за какое-либо дело?",умывает руки,умывает ноги,умывает лицо,умывает уши,1.0
5968,Что не используют для покрытия полов?,кафель,ламинат,паркет,багет,4.0
5969,Какая страна примет чемпионат мира по футболу в 2018 году?,Испания,Россия,Англия,Бельгия,3.0
5970,Как называется маскарадный костюм в виде широкого плаща с рукавами и капюшоном?,лото,шашки,го,домино,4.0
5971,За чем не едет герой известной песенки Юрия Кукина?,за мечтами,за деньгами,за туманом,за запахом тайги,2.0
5972,Чей портрет висел в кабинете следователя Подберёзовикова в фильме «Берегись автомобиля»?,Дзержинского,Ленина,Сталина,Станиславского,4.0
5973,Какое животное в 2007 году впервые появилось на свет в Таиланде в результате искусственного оплодотворения?,корова,свинья,буйвол,слон,4.0
5974,Какое произведение Лермонтов первоначально снабдил эпиграфом «Родина бывает только одна»?,«Мцыри»,«Герой нашего времени»,«Кавказский пленник»,«Бородино»,1.0
5975,По чему перекачивают газ?,по скрипке,по кларнету,по трубе,по барабану,3.0
5976,Какое приспособление используют женщины для закрепления волос?,наколку,заколку,иголку,шприц,2.0
5977,Каким бывает кран?,небоскрёбным,каланчовым,башенным,безбашенным,3.0
5978,Какого цвета была шаль в старинном русском романсе?,светло-бордовая,бледно-лиловая,буро-горчичная,тёмно-вишнёвая,4.0
5979,"Что математики обозначают отрезком прямой, направление которой показано стрелкой?",медиану,вектор,синус,интеграл,2.0
5980,В каком фильме не снимался Евгений Евстигнеев?,«Гиперболоид инженера Гарина»,«Берегись автомобиля»,«Золотой телёнок»,«Джентльмены удачи»,4.0
5981,Какой обьект исследует американский космический аппарат «Оппортьюнити»?,Венеру,Марс,Луну,комету Галлея,2.0
5982,"Как назывался весёлый стремительный танец, популярный на балах в XIX веке?",иноходь,рысь,галоп,карьер,3.0
5983,"Какое прозвище, ставшее фамилией, получил знаменитый шведский хоккеист Свен Юханссон?",Тумба,Комод,Сейф,Шкаф,1.0
5984,"Как заканчивается высказывание Суворова «Там, где пройдёт олень, там пройдёт и русский солдат, а там, где не пройдёт олень…»?",пройдёт русский офицер,человеку делать нечего,всё равно пройдёт русский солдат,никто не пройдёт,3.0
5985,Чьим слугой был Базен?,Атоса,Портоса,Арамиса,д’Артаньяна,3.0
5986,Чем в геральдике лев отличается от леопарда?,количеством лап,окрасом шкуры,поворотом головы,длиной хвоста,3.0
5987,"Куда, образно говоря, садится человек, попавший в неудобное положение?",в ботинок,в валенок,в сапог,в калошу,4.0
5988,Как называется комнатный цветок?,декабрист,октябрист,коммунист,анархист,1.0
5989,Какой роман написал О.Генри?,«Валеты и картошка»,«Дамы и морковка»,«Короли и капуста»,«Тузы и свёкла»,3.0
5990,Чей рост в мультфильме измеряли в попугаях?,попугая,мартышки,слонёнка,удава,4.0
5991,Что такое монпансье?,ириски,шоколадки,печенье,леденцы,4.0
5992,Разновидность какого инвентаря в СССР называли «снегурками»?,лыжи,коньки,ролики,ласты,2.0
5993,"Сколько мужиков в поэме Некрасова отправилось выяснять, кому на Руси жить хорошо?",6,7,8,9,2.0
5994,Какая певица имеет звание Герой Украины?,Ани Лорак,София Ротару,Тина Кароль,Руслана,2.0
5995,В какой стране находится скальный город Петра?,Сирия,Ливан,Иран,Иордания,4.0
5996,"Как завершается высказывание жены Альберта Эйнштейна «Мой муж — гений! Он умеет делать абсолютно всё, кроме…»?",денег,обеда,детей,комплиментов,1.0
5997,Какие окна время от времени появляются на экране компьютера?,ныряющие,всплывающие,тонущие,непотопляемые,2.0
5998,"Как закончить поговорку «Скрипит, как несмазанная…»?",карета,тачанка,телега,глотка,3.0
5999,Что составляет эпистолярный сборник?,воспоминания,эпиграммы,письма,полезные советы,3.0
6000,Какие спортсмены не используют капу?,волейболисты,боксёры,хоккеисты,регбисты,1.0
6001,По какому проливу суда попадают из Чёрного моря в Мраморное?,Босфор,Ла-Манш,Гибралтарский,Магелланов,1.0
6002,Что держит в поднятой руке Пётр I на монументе работы Зураба Церетели?,подзорную трубу,свиток,флаг,крест,2.0
6003,"Как назывался сборник стихов Владимира Высоцкого, изданный в 1981 году?",«Мускулы»,«Плечо»,«Голос»,«Нерв»,4.0
6004,Что дало одеколону название «Тройной»?,тройная перегонка,три ароматических компонента,три года выдержки,соотношение спирта и воды 3:1,2.0
6005,Кто такой шершень с точки зрения зоолога?,оса,пчела,муха,шмель,1.0
6006,Каков на вкус корень травянистого растения солодки?,горький,солёный,сладкий,кислый,3.0
6007,Что делает гимнаст на перекладине?,потягивается,подтягивается,затягивается,оттягивается,2.0
6008,Что делают игроки в преферанс?,дают выкуп,берут прикуп,организуют подкуп,устраивают рэкет,2.0
6009,"В чём, согласно устойчивому выражению, бывает успешно завершённое дело?",в котелке,в цилиндре,в треуголке,в шляпе,4.0
6010,Как называется старинная детская игра?,бабки,детки,внучки,жучки,1.0
6011,Что означает буква «К» на погонах?,командир,капитан,курсант,конвоир,3.0
6012,Чем занимается таксидермист?,водит такси,разводит такс,шьёт шубы,делает чучела,4.0
6013,Личинкой какого насекомого является мотыль?,стрекозы,мухи,комара,шмеля,3.0
6014,Что в романе «Мастер и Маргарита» кот Бегемот предложил выпить после бала Маргарите?,шампанское,водку,красное вино,спирт,4.0
6015,Кого или что изобразил на картине «Владимирка» художник Левитан?,дорогу,деревню,крестьянку,икону,1.0
6016,Как с латинского языка переводится название острова Капри?,«свиной остров»,«коровий остров»,«овечий остров»,«козий остров»,4.0
6017,"Какой камень венчает Большую императорскую корону Российской империи, хранящуюся в Алмазном фонде?",алмаз,сапфир,благородная шпинель,рубин,3.0
6018,Где происходит действие вестерна?,на Диком Западе,на Буйном Востоке,на Бешеном Севере,на Безбашенном Юге,1.0
6019,Кто жил у бабуси в русской народной песне?,очень одинокий петух,два весёлых гуся,три поросёнка,четыре чёрненьких чумазеньких чертёнка,2.0
6020,Какими бывают принтеры?,капельными,струйными,потоковыми,фонтанирующими,2.0
6021,Как называется российская ежедневная общенациональная деловая газета?,«Купецъ»,«Спекулянтъ»,«Коммерсантъ»,«Барыга»,3.0
6022,Как на Руси иначе называли доносчиков?,наушник,нарукавник,наладонник,намордник,1.0
6023,"Какую краску нужно смешать с красной, чтобы получить коричневую?",жёлтую,зелёную,синюю,оранжевую,2.0
6024,Валюта какого государства не называется кроной?,Финляндия,Дания,Швеция,Норвегия,1.0
6025,Какой футболист установил рекорд чемпионатов мира по числу забитых голов в одном матче?,Эйсебио,Пеле,Олег Саленко,Мирослав Клозе,3.0
6026,Облик каких животных принимают отражения лебедей на картине Сальвадора Дали?,слонов,жирафов,пингвинов,страусов,1.0
6027,"Какого профессионала пригласил Владимир Меньшов, чтобы снять любовную сцену в конце фильма «Любовь и Голуби»?",водолаза,садовника,мультипликатора,фокусника,4.0
6028,"Как живёт богатый, не считающий денег человек?",на широкую ногу,на длинную руку,на здоровую шею,на больную голову,1.0
6029,Кто ведёт следствие в серии советских мультфильмов?,Пончики,Блинчики,Крендельки,Колобки,4.0
6030,"Как называют недостоверную информацию, растиражированную в прессе?",журнальная курица,газетная утка,радийный гусь,телевизионный баклан,2.0
6031,"Кто или что «бежит, качается» в популярной детской песенке?",красный богатырь,зелёная карета,серенький волчок,голубой вагон,4.0
6032,Какого цвета купол Исаакиевского собора?,чёрный,золотой,зелёный,серебряный,2.0
6033,Что в России до революции делали филёры?,хирургические операции,колёса для телег,продавали мороженое,осуществляли слежку,4.0
6034,Как иначе называют гевею?,пластмассовое дерево,резиновое дерево,виниловое дерево,нейлоновое дерево,2.0
6035,"Каким физическим недостатком с детства страдал Георг VI, отец нынешней английской королевы Елизаветы II?",глухота,слепота,хромота,заикание,4.0
6036,Что подарило название бадминтону?,усадьба английского герцога,фамилия француза-изобретателя,пляжи атлантического побережья,испанское слово «ракетка»,1.0
6037,Какое взрослое животное не умеет прыгать?,жираф,слон,носорог,зебра,2.0
6038,Какая буква чаще других встречается в русском языке?,А,П,Т,О,4.0
6039,В какой латиноамериканской стране в XIX веке обнаружили крупнейшие запасы селитры?,Колумбия,Эквадор,Уругвай,Чили,4.0
6040,В каком органе человека есть водопровод?,мозг,сердце,печень,почки,1.0
6041,Что делает рыба во время нереста?,мечет икру,мечет карты,мечет бисер,мечет молот,1.0
6042,"Когда лучше всего ходить в гости, по мнению Винни-Пуха?",по ночам,по утрам,по вечерам,по выходным,2.0
6043,Какая бывает ива?,несчастная,печальная,плакучая,рыдающая,3.0
6044,Что хорошо отбивает запах рыбы?,ананас,лимон,вишня,гранат,2.0
6045,Какой известный всем марш написал Мендельсон?,свадебный,гусарский,футбольный,походный,1.0
6046,"Какое блюдо на Руси варили из муки, резали ножом и ели ложками?",компот,кисель,сбитень,взвар,2.0
6047,Сколько строк в японском стихотворении танка?,3,4,5,7,3.0
6048,Кем работал герой фильма «Музыкальная история» в исполнении Сергея Лемешева?,слесарем,таксистом,врачом,учителем,2.0
6049,"Какой богине принадлежала керинейская лань, которую изловил Геракл?",Афродите,Артемиде,Афине,Гере,2.0
6050,Каким было полное имя набоковской Лолиты?,Лоры,Долорес,Лаура,Элоиза,2.0
6051,Вариант какой письменности сейчас используется в Монголии как основной?,клинопись,иероглифы,латиница,кириллица,4.0
6052,На что пошла большая часть дубовых рощ Испании во второй половине XVI века?,на костры инквизиции,на постройку кораблей,на бочки для вина,на ограждения арен для корриды,2.0
6053,"Как называется монастырское песнопение, исполняющееся обоими клиросами, спустившимися на середину церкви?",типикон,дисгармония,какофония,катавасия,4.0
6054,Что варила сорока-белобока из детской потешки?,кашу,пиво,джинсы,сталь,1.0
6055,Что продаётся в аптеке?,медовый бинт,перцовый пластырь,уксусная лента,соляная салфетка,2.0
6056,Какое название дал Иоганн Штраус своему вальсу?,«Поэмы Бразильской сельвы»,«Детективы Сибирской тайги»,«Мемуары Лаосских джунглей»,«Сказки Венского леса»,4.0
6057,Какие изделия народного промысла прославили Оренбург?,шкатулки из яшмы,пуховые платки,кованые замки,фигурки из моржовых клыков,2.0
6058,"Название какой птицы подарили паровозу, а потом — короткому поезду для узкоколейки?",сокола,кукушки,дятла,страуса,2.0
6059,Кого или что ненавидит мизантроп?,животных,войну,деньги,людей,4.0
6060,Какого цвета сивый мерин?,золотистого,чёрного,коричневого,серого,4.0
6061,Чем увенчан шпиль главного здания Московского государственного университета?,двуглавым орлом,фигурой Георгия Победоносца,звездой,крестом,3.0
6062,"Чем лечат, когда применяют ампелотерапию?",солями,виноградом,музыкой,запахами,2.0
6063,Какой математический символ ввёл в математику Лейбниц?,интеграл,логарифм,модуль,квадратный корень,1.0
6064,Какой из советских самолётов не был бипланом?,Ла-7,Ан-2,Р-5,У-2,1.0
6065,Какую из этих стран не омывает Атлантический океан?,Уругвай,Парагвай,Аргентина,Гайана,2.0
6066,Какой ключ есть в арсенале слесаря?,свадебный,разводной,супружеский,семейный,2.0
6067,"Что, по мнению Пушкина, собирался прорубить Пётр I?",окно в Европу,дверь в Америку,ворота в Африку,калитку в Австралию,1.0
6068,"Что происходит на соревнованиях по стрельбе, если соперники набрали одинаковое количество очков?",перевербовка,перепалка,перебранка,перестрелка,4.0
6069,"Хуже чего, как говорят в народе, может надоесть человек?",кислой простокваши,сладкой ваты,солёной воблы,горькой редьки,4.0
6070,Как называется знаменитая советская кинокомедия?,«Лорды разлуки»,«Пэры победы»,«Джентльмены удачи»,«Господа чужбины»,3.0
6071,Чем кроют крышу строители?,шифоньером,шифером,калорифером,матом,2.0
6072,В каких единицах химики измеряют количество вещества?,в мухах,в комарах,в пчёлах,в молях,4.0
6073,Какие российские военнослужащие официально имеют в рационе алкоголь?,прорабы стройбата,моряки-подводники,космонавты,работники военкоматов,2.0
6074,Какой официальный национальный праздник отмечают в Туркмении с 1994 года?,День арбуза,День дыни,День персика,День винограда,2.0
6075,"Какой из этих ударов в боксе наносится снизу согнутой рукой, чаще всего в подбородок?",хук,джеб,апперкот,кросс,3.0
6076,В каком мультфильме впервые прозвучала песенка со словами «От улыбки станет всем светлей»?,«Крошка Енот»,«По дороге с облаками»,«Трям! Здравствуйте!»,«Мама для мамонтёнка»,1.0
6077,Что насекомые и членистоногие делают мандибулами?,смотрят,слушают,размножаются,жуют,4.0
6078,"Какое из этих русских имён не существовало издревле, а было придумано в 19 веке поэтом Востоковым?",Анастасия,Людмила,Надежда,Светлана,4.0
6079,Что в Якутии после Октябрьской революции 1917 года использовали вместо бумажных денег?,берестяные грамоты,почтовые марки,винные этикетки,театральные билеты,3.0
6080,Сколько куполов у собора Василия Блаженного?,7,10,11,13,2.0
6081,"Как называется узел металлорежущего станка, изменяющий скорость подачи?",гитара,тромбон,контрабас,орган,1.0
6082,"Как называется механизм, автоматически закрывающий дверь?",подводчик,доводчик,наводчик,разведчик,2.0
6083,"Как говорят о работе, выполненной с большим трудом, еле-еле?",с бедой на пару,с несчастьем на двоих,с горем пополам,с трагедией в тандеме,3.0
6084,Какой ответ на загадку «Поднялись ворота — всему миру красота»?,облако,радуга,воздушный шар,шлагбаум,2.0
6085,Как называется сказ Павла Бажова «Серебряное…»?,блюдце,рыльце,корытце,копытце,4.0
6086,Столицу какого государство Европы можно найти в теле человека?,Швейцария,Румыния,Словения,Австрия,4.0
6087,Какой технический приём используют борцы самбо?,мельницу,водокачку,сарай,оранжерею,1.0
6088,"В какой цвет красил забор Том Сойер, герой книги Марка Твена?",в жёлтый,в белый,в зелёный,в чёрный,2.0
6089,Сколько балерин участвуют в классической постановке «Танца маленьких лебедей» в балете «Лебединое озеро»?,2,3,4,5,3.0
6090,Какой номинал имела счастливая монета героя диснеевских мультиков Скружда Макдака?,5 центов,10 центов,25 центов,50 центов,2.0
6091,Из произведения какого русского писателя мы знаем о «воплях» Видоплясова?,Толстой,Достоевский,Пушкин,Чехов,2.0
6092,В каком из водопадов потоки низвергаются с самой большой высоты?,Ниагарский,Виктория,Анхель,Илья Муромец,3.0
6093,Что используется для приготовления котлет?,мясорубка,мясопилка,мясодавка,мясожуйка,1.0
6094,Каким действием «людей насмешишь» в русской пословице?,пролетишь,поспешишь,закряхтишь,захрапишь,2.0
6095,"Что делает индюк, подавая голос?",кулдыкает,кудахчет,крякает,кукует,1.0
6096,Как называются японские комиксы?,апельсина,мандарина,банана,манга,4.0
6097,Кем не пожелала стать старуха из «Сказки о рыбаке и рыбке» Пушкина?,столбовою дворянкой,вольною царицей,надворной советницей,владычицей морскою,3.0
6098,Какое изобретение было сделано не в Китае?,фарфор,порох,бумага,гамак,4.0
6099,При создании какого мюзикла были использованы мелодии группы «Джипси Кингс»?,«Ромео и Джульетта»,«12 стульев»,«Зорро»,«Нотр-Дам де Пари»,3.0
6100,"В каком немецком городе футбольный клуб был основан в 1860 году, что можно прочесть в его названии?",Бремен,Кёльн,Дрезден,Мюнхен,4.0
6101,Что стало символом воспитательного метода наказаний и поощрений?,кнут и пряник,ремень и бублик,розга и калач,гильотина и круассан,1.0
6102,Как часто называют что-то сложное для понимания?,латинский диплом,китайская грамота,английская хартия,ватиканская булла,2.0
6103,"Как называют период в жизни дамы, перешагнувшей 30-летний рубеж?",диккенсовская декада,гомеровские лета,толстовская юность,бальзаковский возраст,4.0
6104,Что обозначает буква С в аббревиатуре ЗАГС?,состояние,свадьба,союз,свобода,1.0
6105,Какие моря омывают берега России?,Красное и Чёрное,Белое и Жёлтое,Жёлтое и Чёрное,Белое и Чёрное,4.0
6106,Кто имеет самое непосредственное отношение к скелетону?,костоправы,кельты,спортсмены,музыканты,3.0
6107,Кто автор текста песни «Миллион алых роз»?,Илья Резник,Андрей Дементьев,Лариса Рубальская,Андрей Вознесенский,4.0
6108,Как называется разновидность кроя юбки?,тюльпан,нарцисс,мимоза,гладиолус,1.0
6109,"Что в механических шахматных часах даёт понять, что время игрока истекло?",остановившаяся стрелка,упавший флажок,звуковой сигнал,мигающая лампочка,2.0
6110,Чем занимался избач?,чинил избы,избивал вероотступников,выдавал книги,обворовывал дома,2.0
6111,Какое животное изображено на гербе Челябинска?,лошадь,песец,верблюд,медведь,3.0
6112,Каким эпитетом не одарили глаза авторы популярного романса «Очи чёрные»?,страстные,жгучие,прекрасные,подслеповатые,4.0
6113,Куда закидывает мяч баскетболист?,в авоську,в чемодан,в ведро,в корзину,4.0
6114,Что потерял друг Винни-Пуха ослик Иа-Иа?,память,хвост,деньги,совесть,2.0
6115,"Как завершается цитата из Шекспира, начинающаяся словами «Нет повести печальнее на свете, чем повесть…»?",о Ромео и Джульетте,о солистах в оперетте,о фаготе и кларнете,о рекламе в интернете,1.0
6116,Как часто именуют кинематограф первых лет его существования?,Несравненный хромой,Великий немой,Грандиозный глухой,Неподражаемый слепой,2.0
6117,Чем поливают друг друга победители этапа «Формулы-1» в Бахрейне?,шампанским,кумысом,газировкой,отваром лепестков роз,3.0
6118,"Что такое орало, упоминаемое в библейском призыве «Перекуём мечи на орала»?",плуг,серп,коса,борона,1.0
6119,Кто из этих мужчин не был мужем Мэрилин Монро?,рабочий Джим Догерти,певец и актер Фрэнк Синатра,бейсболист Джо ли Маджио,драматург Артур Миллер,2.0
6120,"Как называется поэтический язык, который придумали и использовали русские футуристы?",чушь,бред,заумь,белиберда,3.0
6121,Что дало название Зарядье историческому району Москвы?,зарядка пушек,грядки огородов,торговые ряды,ряды кладки стен Кремля,3.0
6122,На каком языке слово «салями» означает «колбаса»?,на финском,на немецком,на итальянском,на французском,3.0
6123,Кого бросила хозяйка в детском стишке?,куклу,зайку,мишку,птичку,2.0
6124,"Что делают с бельём, чтобы оно лучше отстирывалось?",замачивают,отпаривают,разглаживают,выветривают,1.0
6125,"Как говорят о человеке, у которого нижняя одежда торчит из-под верхней?",из-под зимы лето,из-под утра вечер,из-под пятницы суббота,семь пятниц на неделе,3.0
6126,Как называется место впадения реки в море или озеро?,исток,устье,рукав,плёс,2.0
6127,Разновидностью какой ягоды в быту называют аронию черноплодную?,малины,калины,рябины,брусники,3.0
6128,Сколько костяшек составляют стандартный набор для игры в домино?,28,32,36,40,1.0
6129,Какой напиток изготавливают не из сока агавы?,пульке,кальвадос,мескаль,текила,2.0
6130,Кто тренирует пару фигуристов Юко Кавагути — Александр Смирнов?,Татьяна Тарасова,Елена Чайковская,Тамара Москвина,Алексей Мишин,3.0
6131,Какой персонаж Чуковского получил имя благодаря названию улицы?,Айболит,Бармалей,Мойдодыр,Тараканище,2.0
6132,Кто такая пипа?,лягушка,птица,рыба,обезьяна,1.0
6133,Какой город с 1590 года несколько веков был столицей Сибири?,Омск,Тобольск,Красноярск,Иркутск,2.0
6134,Какого российского исторического деятеля иногда презрительно называли «подьячим»?,Столыпина,Сперанского,Витте,Распутина,2.0
6135,Что получил Леонид Утёсов за фильм «Весёлые ребята»?,фотоаппарат ФЭД,звание заслуженного артиста РСФСР,автомобиль «Победа»,орден «Знак Почёта»,1.0
6136,"В честь какой страны назван сплав олова и сурьмы с добавками меди, предназначенный для изготовления посуды и украшений?",Франция,Германия,Британия,Испания,3.0
6137,Как зовут героиню сказки Андерсена?,Миллиметровочка,Сантиметровочка,Дюймовочка,Саженечка,3.0
6138,"Что турист делает с палаткой, когда приходит на стоянку?",разрезает,распиливает,раскалывает,разбивает,4.0
6139,Кого по традиции персонально приветствует дирижёр симфонического оркестра?,первую скрипку,второй рояль,третий барабан,четвёртую флейту,1.0
6140,Какое вещество описывается химической формулой С2Н5ОН?,бензин,солярка,спирт,эфир,3.0
6141,Какое напряжение требуется электроприборам автомобиля?,220 вольт,127 вольт,12 вольт,6 вольт,3.0
6142,"Какой правильный ответ на русскую народную загадку «Скручен, связан, по избе пляшет»?",клубок ниток,веник,лапоть,буйнопомешанный,2.0
6143,Кто из этих иностранных актёров ни разу не сыграл в кино русского?,Арнольд Шварценеггер,Харрисон Форд,Дольф Лундгрен,Шон Коннери,4.0
6144,Чем удивили на чемпионате мира 2010-го года белорусские баскетболистки?,постриглись наголо,играли в платьях,играли босиком,портретом президента на майках,2.0
6145,Какой якобы крабовый продукт продают в магазинах?,палочки,колбочки,шайбочки,гаечки,1.0
6146,Что делают с лясами?,строгают,точат,сверлят,паяют,2.0
6147,Какой цветок можно увидеть в поле?,иван-чай,пётр-кофе,павел-какао,марья-молоко,1.0
6148,Как называется земляное основание для устройства дороги?,ткань,полотно,материя,тряпка,2.0
6149,Что кот Матроскин не назвал своим документом в мультфильме «Каникулы в Простоквашино»?,усы,лапы,уши,хвост,3.0
6150,Что связывает Наполеона Бонапарта с Корсикой?,там родился,там провозглашён императором,туда был сослан,там похоронен,1.0
6151,"Как называется книга, принёсшая популярность Паоло Коэльо?",«Агроном»,«Астролог»,«Агностик»,«Алхимик»,4.0
6152,"О чём пословица говорит: мал, да всем телом владеет?",мозг,глаз,нос,язык,4.0
6153,"Как назывались болгарские сигареты, продававшиеся в СССР?",«Ту-104»,«Ту-114»,«Ту-134»,«Ту-154»,3.0
6154,На каком полуострове живут ительмены?,Чукотский,Камчатский,Кольский,Ямал,2.0
6155,"С чем, согласно фразеологизму, остаётся одураченный человек?",с ухом,с носом,с глазом,с чувством глубокого удовлетворения,2.0
6156,"Кто не обидится, если его назовут свиньёй?",Винни-Пух,Рикки-Тикки-Тави,Тянитолкай,Ниф-Ниф,4.0
6157,Как называют битву ратников Александра Невского с рыцарями Ливонского ордена?,Лесная сеча,Ледовое побоище,Болотная битва,Горное сражение,2.0
6158,"Куда, достигая высшего блаженства, погружается буддист?",в Ганг,в мечты,в нирвану,в спячку,3.0
6159,Чему пел песню Максим Горький в «Песне о Соколе»?,безумству храбрых,безгрешности верных,бескорыстию щедрых,бесстрашию гордых,1.0
6160,Сколько мишеней ждут биатлониста на каждом огневом рубеже?,3,4,5,6,3.0
6161,Что вызвало долгий сон царевны в сказке Пушкина о семи богатырях?,укол веретеном,песня кота Баюна,кусочек яблока,"программа «Спокойной ночи, малыши!»",3.0
6162,Кто в фильме «Кавказская пленница» произносит фразу «А хорошо жить — ещё лучше»?,Трус,Бывалый,Балбес,Шурик,3.0
6163,"Какую часть туши предлагает вам мясник, демонстрируя оковалок?",часть спины,бедро передней ноги,бедро задней ноги,нижнюю часть шеи,1.0
6164,Как в 1987 году назывался город Набережные Челны?,Брежнев,Суслов,Андропов,Подгорный,1.0
6165,"Кто, будучи студентом, залил свои чертежи тушью и решил стать актёром?",Олег Янковский,Андрей Миронов,Владимир Высоцкий,Олег Даль,3.0
6166,"Какую геометрическую фигуру можно увидеть, если бросить в воду камень?",круг,квадрат,треугольник,ромб,1.0
6167,Какого цвета была кожа у Шрека?,красная,синяя,зелёная,фиолетовая,3.0
6168,Какой экран бывает у современных смартфонов?,чувственный,чувствительный,сенсорный,сентиментальный,3.0
6169,"Чего, согласно идиоме, можно задать противнику в поединке?",соли,перцу,горчицы,аджику,2.0
6170,"Какую особенность внешности имеет птица клёст, выедающая семена из шишек?",загнутые кверху когти,короткие крылья,раздвоенный хвост,перекрещённый клюв,4.0
6171,"Что такое Максим, если речь идёт о создателе одноимённого пулемёта?",имя,фамилия,прозвище,сокращённые имя и фамилия,2.0
6172,Какого подвига не совершал Геракл?,поимка керинейской лани,убийство горгоны Медузы,истребление стимфалийских птиц,похищение пояса Ипполиты,2.0
6173,Какой актёр читал закадровый текст в фильме «Берегись автомобиля»?,Виталий Соломин,Юрий Яковлев,Вячеслав Тихонов,Ефим Копелян,2.0
6174,Какой из этих островов не относится к Большим Антильским Островам?,Куба,Гаити,Ямайка,Таити,4.0
6175,Сколько раз советские футболисты удостаивались «Золотого мяча»?,1,3,5,7,2.0
6176,Каких преступников Данте поместил в девятый круг ада?,предателей,еретиков,самоубийц,убийц,1.0
6177,"Как, согласно фразеологизму, бежит человек, который сильно спешит?",выпучив глаза,оборвав уши,сломя голову,отбрасывая копыта,3.0
